Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank 2022,Closing Rank 2023,Closing Rank 2024,Predicted Closing Rank 2025
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,EWS,Gender-Neutral,3181,5035,3467,3937
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,OBC-NCL,Gender-Neutral,6554,8755,8177,9280
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,OPEN,Female-only (including Supernumerary),27425,25690,25278,24275
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,OPEN,Gender-Neutral,19296,24641,22390,24468
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,SC,Female-only (including Supernumerary),4348,4620,4991,5347
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,SC,Gender-Neutral,3316,4250,4321,4965
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",AI,ST,Gender-Neutral,1441,1083,764,556
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,2254,2531,2090,2036
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,5248,6271,5680,5965
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),21747,18670,20966,20771
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,13885,14830,12761,12305
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),3708,3569,4522,5040
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2802,3273,2954,3058
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,1351,1428,1465,1525
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,2222,2375,2081,2023
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4876,5956,5361,5686
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),21195,18004,18700,17653
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,13157,14852,14001,14501
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),3847,3961,4763,5315
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2858,3386,3125,3293
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,1394,1470,1461,1496
